carat,cut
0.22,Fair
0.86,Fair
0.96,Fair
0.23,Good
0.31,Good
0.3,Good
0.3,Good
0.3,Good
0.3,Good
0.23,Good
0.23,Good
0.31,Good
0.26,Good
0.26,Good
0.32,Good
0.32,Good
0.3,Good
0.3,Good
0.26,Good
0.7,Good
0.7,Good
0.23,Ideal
0.23,Ideal
0.31,Ideal
0.3,Ideal
0.33,Ideal
0.33,Ideal
0.33,Ideal
0.23,Ideal
0.32,Ideal
0.3,Ideal
0.35,Ideal
0.3,Ideal
0.3,Ideal
0.28,Ideal
0.32,Ideal
0.26,Ideal
0.38,Ideal
0.7,Ideal
0.7,Ideal
0.21,Premium
0.29,Premium
0.22,Premium
0.2,Premium
0.32,Premium
0.24,Premium
0.29,Premium
0.22,Premium
0.22,Premium
0.3,Premium
0.3,Premium
0.42,Premium
0.31,Premium
0.24,Premium
0.3,Premium
0.3,Premium
0.24,Premium
0.24,Premium
0.24,Premium
0.24,Premium
0.32,Premium
0.8,Premium
0.24,Very Good
0.24,Very Good
0.26,Very Good
0.23,Very Good
0.3,Very Good
0.23,Very Good
0.23,Very Good
0.31,Very Good
0.31,Very Good
0.23,Very Good
0.3,Very Good
0.23,Very Good
0.23,Very Good
0.23,Very Good
0.23,Very Good
0.23,Very Good
0.23,Very Good
0.23,Very Good
0.26,Very Good
0.32,Very Good
0.25,Very Good
0.29,Very Good
0.24,Very Good
0.3,Very Good
0.3,Very Good
0.31,Very Good
0.24,Very Good
0.3,Very Good
0.26,Very Good
0.26,Very Good
0.26,Very Good
0.26,Very Good
0.26,Very Good
0.26,Very Good
0.26,Very Good
0.71,Very Good
0.78,Very Good
0.73,Very Good
